board,number,name,source
1,78,Santur C,SR-JV80-01_Pop_Waveform_List.pdf
1,79,Glockenspiel,SR-JV80-01_Pop_Waveform_List.pdf
1,80,Xylophone,SR-JV80-01_Pop_Waveform_List.pdf
1,81,Tubular Bell,SR-JV80-01_Pop_Waveform_List.pdf
1,82,Jazz Flute A,SR-JV80-01_Pop_Waveform_List.pdf
1,83,Jazz Flute B,SR-JV80-01_Pop_Waveform_List.pdf
1,84,Jazz Flute C,SR-JV80-01_Pop_Waveform_List.pdf
1,85,Sing Flute,SR-JV80-01_Pop_Waveform_List.pdf
1,86,Trumpet 2A,SR-JV80-01_Pop_Waveform_List.pdf
1,87,Trumpet 2B,SR-JV80-01_Pop_Waveform_List.pdf
1,88,Trumpet 2C,SR-JV80-01_Pop_Waveform_List.pdf
1,89,Flugel A,SR-JV80-01_Pop_Waveform_List.pdf
1,90,Flugel B,SR-JV80-01_Pop_Waveform_List.pdf
1,91,Flugel C,SR-JV80-01_Pop_Waveform_List.pdf
1,92,Tuba 1,SR-JV80-01_Pop_Waveform_List.pdf
1,93,Clarinet 1,SR-JV80-01_Pop_Waveform_List.pdf
1,94,Oboe 1,SR-JV80-01_Pop_Waveform_List.pdf
1,95,Bassoon 1,SR-JV80-01_Pop_Waveform_List.pdf
1,96,Bassoon&Oboe,SR-JV80-01_Pop_Waveform_List.pdf
1,97,F. Horn Sect,SR-JV80-01_Pop_Waveform_List.pdf
1,98,Soporano Sax,SR-JV80-01_Pop_Waveform_List.pdf
1,99,Alto mp A,SR-JV80-01_Pop_Waveform_List.pdf
1,100,Alto mp B,SR-JV80-01_Pop_Waveform_List.pdf
1,101,Alto mp C,SR-JV80-01_Pop_Waveform_List.pdf
1,102,TenorBreathy,SR-JV80-01_Pop_Waveform_List.pdf
1,103,Tenor Sax mf,SR-JV80-01_Pop_Waveform_List.pdf
1,104,Baritone Sax,SR-JV80-01_Pop_Waveform_List.pdf
1,105,Multi Sax 1,SR-JV80-01_Pop_Waveform_List.pdf
1,106,Multi Sax 2,SR-JV80-01_Pop_Waveform_List.pdf
1,107,Shakuhachi,SR-JV80-01_Pop_Waveform_List.pdf
1,108,Harmonica 1,SR-JV80-01_Pop_Waveform_List.pdf
1,109,Whistle 1,SR-JV80-01_Pop_Waveform_List.pdf
1,110,Tb Sect A,SR-JV80-01_Pop_Waveform_List.pdf
1,111,Tb Sect B,SR-JV80-01_Pop_Waveform_List.pdf
1,112,Tb Sect C,SR-JV80-01_Pop_Waveform_List.pdf
1,113,T. Sax Sect A,SR-JV80-01_Pop_Waveform_List.pdf
